               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12251,            0.041117,            0.029803,           0.0014451,                0.25,           0.0025982,          0.00025982,             0.13297,            0.029727,            0.023937,                 0.1,                   0,                   0
                   1,               0.122,            0.035676,            0.030268,          0.00091743,                 0.1,           0.0030067,          0.00030067,             0.13225,            0.030002,            0.023768,             0.09909,            9.01e-05,            9.01e-05
                   2,               0.125,            0.033247,            0.028151,          0.00091912,                 0.1,           0.0032399,          0.00032399,             0.13204,            0.029947,            0.023794,             0.09816,           0.0001604,           0.0001604
                   3,             0.12286,            0.042557,            0.029038,          0.00091743,                 0.1,           0.0033261,          0.00033261,              0.1318,             0.02984,            0.023821,            0.097211,           0.0002109,           0.0002109
                   4,             0.12077,            0.043148,            0.029783,          0.00091743,                 0.1,           0.0033261,          0.00033261,             0.13156,             0.02981,            0.023811,            0.096242,           0.0002416,           0.0002416
                   5,             0.12203,            0.037781,            0.029125,           0.0018587,                 0.2,           0.0040632,          0.00052542,             0.13131,            0.029691,            0.023817,            0.095253,           0.0002525,           0.0002525
                   6,             0.12129,            0.054713,            0.029882,           0.0018553,                 0.2,           0.0040736,          0.00052743,             0.13112,            0.029605,            0.023753,            0.094244,           0.0002436,           0.0002436
                   7,             0.12605,            0.031537,            0.028476,           0.0018587,                 0.2,           0.0040888,          0.00072388,             0.13086,            0.029499,            0.023749,            0.093215,           0.0002149,           0.0002149
                   8,             0.12002,            0.032493,            0.029245,           0.0018868,                 0.2,            0.004109,          0.00053476,             0.13061,            0.029357,            0.023763,            0.092166,           0.0001664,           0.0001664
                   9,             0.12003,             0.03982,            0.030263,           0.0018797,                 0.2,           0.0040145,          0.00070851,             0.13038,            0.029296,            0.023765,            0.091098,            9.81e-05,            9.81e-05
